grid_id,annotation_id,source_file,source_layer,source_id,source_name,label_definition,quality_tier,review_status,issue_type,split_scope,label_source,semantic_confidence
G1238,G1238_001,G1238.gpkg,G1238,G1238_001,,installation_footprint,T1,sam2.1_reviewed,,,human_manual_sam_assisted,A1
G1238,G1238_002,G1238.gpkg,G1238,G1238_002,,installation_footprint,T1,sam2.1_reviewed,,,human_manual_sam_assisted,A1
G1238,G1238_003,G1238.gpkg,G1238,G1238_003,,installation_footprint,T1,sam2.1_reviewed,,,human_manual_sam_assisted,A1
G1238,G1238_004,G1238.gpkg,G1238,G1238_004,,installation_footprint,T1,sam2.1_reviewed,,,human_manual_sam_assisted,A1
G1238,G1238_005,G1238.gpkg,G1238,G1238_005,,installation_footprint,T1,sam2.1_reviewed,,,human_manual_sam_assisted,A1
G1238,G1238_006,G1238.gpkg,G1238,G1238_006,,installation_footprint,T1,sam2.1_reviewed,,,human_manual_sam_assisted,A1
G1238,G1238_007,G1238.gpkg,G1238,G1238_007,,installation_footprint,T1,sam2.1_reviewed,,,human_manual_sam_assisted,A1
G1238,G1238_008,G1238.gpkg,G1238,G1238_008,,installation_footprint,T1,sam2.1_reviewed,,,human_manual_sam_assisted,A1
G1238,G1238_009,G1238.gpkg,G1238,G1238_009,,installation_footprint,T1,sam2.1_reviewed,,,human_manual_sam_assisted,A1
G1238,G1238_010,G1238.gpkg,G1238,G1238_010,,installation_footprint,T1,sam2.1_reviewed,,,human_manual_sam_assisted,A1
G1238,G1238_011,G1238.gpkg,G1238,G1238_011,,installation_footprint,T1,sam2.1_reviewed,,,human_manual_sam_assisted,A1
G1238,G1238_012,G1238.gpkg,G1238,G1238_012,,installation_footprint,T1,sam2.1_reviewed,,,human_manual_sam_assisted,A1
G1238,G1238_013,G1238.gpkg,G1238,G1238_013,,installation_footprint,T1,sam2.1_reviewed,,,human_manual_sam_assisted,A1
G1238,G1238_014,G1238.gpkg,G1238,G1238_014,,installation_footprint,T1,sam2.1_reviewed,,,human_manual_sam_assisted,A1
G1238,G1238_015,G1238.gpkg,G1238,G1238_015,,installation_footprint,T1,sam2.1_reviewed,,,human_manual_sam_assisted,A1
G1238,G1238_016,G1238.gpkg,G1238,G1238_016,,installation_footprint,T1,sam2.1_reviewed,,,human_manual_sam_assisted,A1
G1238,G1238_017,G1238.gpkg,G1238,G1238_017,,installation_footprint,T1,sam2.1_reviewed,,,human_manual_sam_assisted,A1
G1238,G1238_018,G1238.gpkg,G1238,G1238_018,,installation_footprint,T1,sam2.1_reviewed,,,human_manual_sam_assisted,A1
G1238,G1238_019,G1238.gpkg,G1238,G1238_019,,installation_footprint,T1,sam2.1_reviewed,,,human_manual_sam_assisted,A1
G1238,G1238_020,G1238.gpkg,G1238,G1238_020,,installation_footprint,T1,sam2.1_reviewed,,,human_manual_sam_assisted,A1
G1238,G1238_021,G1238.gpkg,G1238,G1238_021,,installation_footprint,T1,sam2.1_reviewed,,,human_manual_sam_assisted,A1
G1238,G1238_022,G1238.gpkg,G1238,G1238_022,,installation_footprint,T1,sam2.1_reviewed,,,human_manual_sam_assisted,A1
G1238,G1238_023,G1238.gpkg,G1238,G1238_023,,installation_footprint,T1,sam2.1_reviewed,,,human_manual_sam_assisted,A1
G1238,G1238_024,G1238.gpkg,G1238,G1238_024,,installation_footprint,T1,sam2.1_reviewed,,,human_manual_sam_assisted,A1
G1238,G1238_025,G1238.gpkg,G1238,G1238_025,,installation_footprint,T1,sam2.1_reviewed,,,human_manual_sam_assisted,A1
G1238,G1238_026,G1238.gpkg,G1238,G1238_026,,installation_footprint,T1,sam2.1_reviewed,,,human_manual_sam_assisted,A1
G1238,G1238_027,G1238.gpkg,G1238,G1238_027,,installation_footprint,T1,sam2.1_reviewed,,,human_manual_sam_assisted,A1
G1238,G1238_028,G1238.gpkg,G1238,G1238_028,,installation_footprint,T1,sam2.1_reviewed,,,human_manual_sam_assisted,A1
G1238,G1238_029,G1238.gpkg,G1238,G1238_029,,installation_footprint,T1,sam2.1_reviewed,,,human_manual_sam_assisted,A1
G1238,G1238_030,G1238.gpkg,G1238,G1238_030,,installation_footprint,T1,sam2.1_reviewed,,,human_manual_sam_assisted,A1
G1238,G1238_031,G1238.gpkg,G1238,G1238_031,,installation_footprint,T1,sam2.1_reviewed,,,human_manual_sam_assisted,A1
G1238,G1238_032,G1238.gpkg,G1238,G1238_032,,installation_footprint,T1,sam2.1_reviewed,,,human_manual_sam_assisted,A1
G1238,G1238_033,G1238.gpkg,G1238,G1238_033,,installation_footprint,T1,sam2.1_reviewed,,,human_manual_sam_assisted,A1
G1238,G1238_034,G1238.gpkg,G1238,G1238_034,,installation_footprint,T1,sam2.1_reviewed,,,human_manual_sam_assisted,A1
G1238,G1238_035,G1238.gpkg,G1238,G1238_035,,installation_footprint,T1,sam2.1_reviewed,,,human_manual_sam_assisted,A1
G1238,G1238_036,G1238.gpkg,G1238,G1238_036,,installation_footprint,T1,sam2.1_reviewed,,,human_manual_sam_assisted,A1
G1238,G1238_037,G1238.gpkg,G1238,G1238_037,,installation_footprint,T1,sam2.1_reviewed,,,human_manual_sam_assisted,A1
G1238,G1238_038,G1238.gpkg,G1238,G1238_038,,installation_footprint,T1,sam2.1_reviewed,,,human_manual_sam_assisted,A1
G1238,G1238_039,G1238.gpkg,G1238,G1238_039,,installation_footprint,T1,sam2.1_reviewed,,,human_manual_sam_assisted,A1
G1238,G1238_040,G1238.gpkg,G1238,G1238_040,,installation_footprint,T1,sam2.1_reviewed,,,human_manual_sam_assisted,A1
G1238,G1238_041,G1238.gpkg,G1238,G1238_041,,installation_footprint,T1,sam2.1_reviewed,,,human_manual_sam_assisted,A1
G1238,G1238_042,G1238.gpkg,G1238,G1238_042,,installation_footprint,T1,sam2.1_reviewed,,,human_manual_sam_assisted,A1
G1238,G1238_043,G1238.gpkg,G1238,G1238_043,,installation_footprint,T1,sam2.1_reviewed,,,human_manual_sam_assisted,A1
G1238,G1238_044,G1238.gpkg,G1238,G1238_044,,installation_footprint,T1,sam2.1_reviewed,,,human_manual_sam_assisted,A1
